"BIOME" "ECO_NAME" "ECO_ID" "Lon" "Lat"
"394" 6 "Scandinavian and Russian taiga" 80608 48.25 62.25
"395" 6 "East Siberian taiga" 80601 104.25 62.25
"396" 6 "Northwest Territories taiga" 50614 -124.75 62.75
"397" 6 "Scandinavian and Russian taiga" 80608 26.25 62.75
"398" 6 "West Siberian taiga" 80611 82.25 62.75
"399" 6 "Scandinavian and Russian taiga" 80608 55.75 63.25
"400" 6 "East Siberian taiga" 80601 111.75 63.25
"401" 6 "Northern Canadian Shield taiga" 50612 -116.75 63.75
"402" 6 "Scandinavian and Russian taiga" 80608 20.25 63.75
"403" 6 "West Siberian taiga" 80611 78.25 63.75
"404" 6 "Northeast Siberian taiga" 80605 134.25 63.75
"405" 6 "Interior Alaska-Yukon lowland taiga" 50607 -150.25 64.25
"406" 6 "Scandinavian and Russian taiga" 80608 42.25 64.25
"407" 6 "East Siberian taiga" 80601 98.25 64.25
"408" 6 "Northeast Siberian taiga" 80605 154.25 64.25
"409" 6 "Scandinavian and Russian taiga" 80608 52.75 64.75
"410" 6 "East Siberian taiga" 80601 108.75 64.75
"411" 6 "West Siberian taiga" 80611 67.25 65.25
"412" 6 "East Siberian taiga" 80601 123.25 65.25
"413" 6 "Northeast Siberian taiga" 80605 149.75 66.25
"414" 6 "Interior Alaska-Yukon lowland taiga" 50607 -143.25 66.75
"415" 6 "East Siberian taiga" 80601 113.75 66.75
"416" 6 "Northeast Siberian taiga" 80605 134.75 67.25
"417" 6 "East Siberian taiga" 80601 103.25 67.75
"418" 6 "Northeast Siberian taiga" 80605 159.25 67.75
"419" 6 "Northwest Territories taiga" 50614 -132.75 68.25
"420" 6 "Scandinavian and Russian taiga" 80608 23.25 68.25
"421" 6 "East Siberian taiga" 80601 89.25 68.25
"422" 6 "Northeast Siberian taiga" 80605 145.25 68.25
"423" 6 "Northeast Siberian taiga" 80605 145.75 68.75
"424" 6 "East Siberian taiga" 80601 99.25 69.25
"425" 6 "Northeast Siberian taiga" 80605 127.25 69.75
"426" 6 "East Siberian taiga" 80601 124.75 70.25
"427" 6 "East Siberian taiga" 80601 113.75 71.25
"428" 4 "Gulf of St. Lawrence lowland forests" 50408 -65.75 47.25
"429" 8 "Daurian forest steppe" 80804 106.75 47.25
"430" 6 "Central Canadian Shield forests" 50602 -78.75 48.25
"431" 6 "Eastern Canadian forests" 50605 -57.75 48.75
"432" 8 "Selenge-Orkhon forest steppe" 80816 104.75 48.75
"433" 4 "Western Great Lakes forests" 50416 -93.25 49.75
"434" 4 "East European forest steppe" 80419 27.25 49.75
"435" 6 "Okhotsk-Manchurian taiga" 80606 139.25 49.75
"436" 6 "Central Canadian Shield forests" 50602 -74.25 50.25
"437" 6 "Eastern Canadian forests" 50605 -60.75 50.75
"438" 6 "Trans-Baikal conifer forests" 80609 105.25 50.75
"439" 8 "Kazakh forest steppe" 80809 58.75 51.25
"440" 8 "Daurian forest steppe" 80804 114.75 51.25
"441" 8 "Canadian Aspen forests and parklands" 50802 -99.75 51.75
"442" 5 "Da Hinggan-Dzhagdy Mountains conifer forests" 80505 122.25 51.75
"443" 6 "Midwestern Canadian Shield forests" 50609 -93.75 52.25
